location,count,link
"moscow, id",11,"https://pepperdinelibraries.github.io/weisman-museum/browse.html#moscow,%20id"
"new york, ny",4,"https://pepperdinelibraries.github.io/weisman-museum/browse.html#new%20york,%20ny"
"springfield, il",3,"https://pepperdinelibraries.github.io/weisman-museum/browse.html#springfield,%20il"
"hendersonville, tn",3,"https://pepperdinelibraries.github.io/weisman-museum/browse.html#hendersonville,%20tn"
"spokane, wa",3,"https://pepperdinelibraries.github.io/weisman-museum/browse.html#spokane,%20wa"
"los angeles, ca",2,"https://pepperdinelibraries.github.io/weisman-museum/browse.html#los%20angeles,%20ca"
"seattle, wa",1,"https://pepperdinelibraries.github.io/weisman-museum/browse.html#seattle,%20wa"
"portland, or",1,"https://pepperdinelibraries.github.io/weisman-museum/browse.html#portland,%20or"
"berkley, co",1,"https://pepperdinelibraries.github.io/weisman-museum/browse.html#berkley,%20co"
